file_path,article_id,title,summary,date,month,year,published_at,country,company,case_type,related_to,monetary_amounts
C:\Users\z004xh1j\OneDrive - Innomotics\Desktop\Comapass_Lexecon_Case_Study\data\raw_data\EC press releases part 1\ip_03_1327.html,ip_03_1327,combined transport by rail commission authorises italian aid,brussels 1 st october 2003 european commission gave today the go ahead to the combined transport aid scheme proposed by the autonomous province of trento italy to encourage the development of combined transport and reduce its access cost the italian province of trento intends to grant subsidies to firms offering combined transport services by rail to or from the province the subsidies will be limited to offsetting the differences between the uncovered external costs of road transport and combined transport they will make it possible to reduce the price paid by combined transport infrastructure users and compete with road transport on similar market conditions the commission considers this aid to be compatible with competition rules the scheme is based on a tendering procedure for the provision of railway and other services for this type of combined transport another important factor in the favourable assessment is that the aid is limited in time the scheme will run for three years with a budget of 2 million a year,01/10/2003,october,2003,,,,combined transport,,2000000.00
C:\Users\z004xh1j\OneDrive - Innomotics\Desktop\Comapass_Lexecon_Case_Study\data\raw_data\EC press releases part 1\ip_03_4.html,ip_03_4,internal market commission moves against 13 member states for failure to implement eu legislation,brussels 6 th january 2003 the european commission has decided to pursue infringement procedures against 13 member states for failure to implement in national law one or more of five different internal market directives the commission will ask belgium denmark greece france ireland italy luxembourg the netherlands portugal finland and the uk to implement quickly the necessary legislation in a total of 26 cases covering directives on motor insurance cultural goods electronic commerce and the issuing of electronic money these requests will take the form of reasoned opinions should a member state which has received a reasoned opinion fail to give a satisfactory reply within two months the commission may refer the matter to the court of justice in line with this and after sending reasoned opinions in july 2002 the commission will take belgium germany spain luxembourg the netherlands austria and portugal to the european court of justice for failure to implement the directive on the legal protection of designs reasoned opinions will also be sent to nine member states over non implementation of directive 98 44 ec on the legal protection of biotechnological inventions see ip 02 1928 according to the commission s latest internal market scoreboard published in november see ip 02 1644 ten years after the opening of europe s frontiers the backlog of directives not implemented on time by member states has started to grow again the implementation deficit rose from an average of 1 8 per member state in may 2002 to 2 1 in november this deficit is the percentage of eu internal market laws currently in force which member states have not yet passed into national law the recent rise follows a decade of continuous improvement that saw the deficit fall from an average of 21 4 per member state in 1992 motor insurance the commission will send reasoned opinions to france greece italy ireland luxembourg the netherlands portugal and the uk for non implementation of the fourth motor insurance directive 2000 26 ec by the agreed date of 20 july 2002 only four member states germany austria finland and sweden respected that deadline therefore this year the commission sent letters of formal notice to the other eleven member states in the meantime denmark and spain have also completed the transposition of this directive into national law belgium has also adopted almost all the necessary legislation to implement the directive in the absence of adequate implementation of the directive in the remaining eight member states drivers from one member state involved in an accident with a car registered and insured in another member states will still have to face serious difficulties to claim compensation quickly unlike the first three motor insurance directives the fourth directive covers instances when the accident takes place outside the victim s member state of residence visiting victims the directive also applies to accidents between two eu parties in any of the 40 or so countries covered by the green card system it aims to facilitate and speed up the settling of claims by allowing victims to directly refer to the insurer of the liable party rather than having to refer to the liable party him or herself every insurer is required to nominate a claims representative in every eu member state so an accident victim will be able to deal with a representative of the liable insurer in his or her own member state and language under the directive member states are also required to impose sanctions to accelerate compensation where liable insurers take more than three months to make a reasoned reply to a compensation request establish information centres to deal with motor vehicle insurance issues in general so as to make it easier for accident victims to find out who insures the liable party establish a compensation body to settle claims in cases where there is no claims representative or where the insurer is too slow to settle this body will then claim the money back from the compensation body of the member state where the insurer is established cultural goods the commission has decided to send reasoned opinions to belgium france and luxembourg as these member states have not notified the commission their national measures implementing directive 2001 38 ec of 5 june 2001 which amends council directive 93 7 eec on the return of cultural objects unlawfully removed from the territory of a member state member states had agreed to implement the directive by 31 december 2001 on the one hand directive 2001 38 ec establishes that the definition of a cultural good does not depend on its financial value in this regard it specifically modifies the annex of directive 93 7 eec with the aim to clarify that certain goods such as early printed books or manuscripts are to be considered as cultural goods independently of their monetary value directive 2001 38 ec also converts into euros the previous ecu figures for the value thresholds above which cultural goods are covered by the earlier directive 93 7 eec for non euro zone member states the directive sets out value thresholds based on exchange rates applying on 31 december 2001 and subject to periodic and automatic revision electronic commerce the commission has decided to send reasoned opinions to belgium france greece ireland italy the netherlands and portugal for failure to notify national measures implementing directive 2000 31 ec on electronic commerce the directive requires member states to establish a legal framework which ensures the free movement of information society services throughout the european union and which allows electronic commerce to benefit fully from the internal market the directive entered into force on 17 july 2000 the deadline for member states to transpose it into national law was 17 january 2002 member states approved this short implementation period because they agreed that that it was urgent to set up a legal framework for electronic commerce the commission is aware that the member states concerned are making major efforts to transpose the directive in the shortest possible time and that draft laws are under discussion in all those member states however in the absence of a formal adoption of these laws the commission has decided to continue the infringement procedures electronic money institutions the commission will send reasoned opinions to belgium finland france and greece for failing to adopt the measures necessary to comply with directives 2000 28 ec and 2000 46 ec on the taking up pursuit of and prudential supervision of the business of electronic money institutions see ip 98 727 electronic money means a surrogate for coins and bank notes stored on an electronic device normally a chip card electronic purse for example the proton system in belgium or a computer memory which is accepted by undertakings other than the issuer for the purpose of making electronic payments of limited amounts it is necessary for e money to be redeemable to ensure bearer confidence redeemability should always be understood to be at par value the directives aim to facilitate the development of electronic commerce within the eu by establishing minimum rules for ensuring that institutions issuing electronic money are stable and sound thus promoting confidence amongst business and consumers the directives also aim to prevent any distortion of competition between electronic money issuers in particular between traditional credit institutions and other firms issuing electronic money in order to respond to the specific risks associated with the issuance of e money prudential supervision must be targeted and accordingly less cumbersome than the prudential supervision applying to credit institutions the agreed deadline for implementation was 27 april 2002 legal protection of designs the commission has decided to refer austria belgium germany luxembourg the netherlands portugal and spain to the court of justice for their failure to implement into national law directive 98 71 ec on the legal protection of designs the directive was adopted in 1998 and member states themselves agreed to implement it no later than 28 october 2001 ensuring a high level of protection for industrial property throughout the internal market is essential to encouraging investment in manufacturing the directive aims to ensure coherence between those national provisions of design law which most directly affect the functioning of the internal market in particular the directive defines what constitutes a design establishes the criteria for protection a design has to be new and have an individual character fixes the duration of protection minimum of 5 years and maximum of 25 years fixes the scope of protection the right holder has the exclusive right to use the design and to prevent any third party from using it establish limits to the design right for example it would not normally cover inter connections between components establishes rules on the nullity of the registration of a design design holders will be able to choose to register designs under national law as harmonised by the directive or to take advantage of a one off process for obtaining protection throughout the eu by registering them as community designs with the office for harmonisation in the internal market in alicante in line with the regulation on community designs adopted in december 2001 see ip 02 1803 in a letter of formal notice of 5 december 2001 the commission reminded those member states which had not yet implemented the directive of the need to take steps to comply with their obligation some member states implemented the directive during the first half of 2002 on 1 july 2002 the commission decided to send a formal request asking those member states that still had not complied with their obligations to do so today the commission has begun the last phase of the infringement procedure by referring the above mentioned seven member states to the european court of justice information concerning current infringement procedures against all member states is available on the europa website http ec europa eu secretariat general sgb droit com index en htm,06/01/2003,january,2003,,,,internal market,ip_02_1928; ip_02_1644; ip_98_727; ip_02_1803,
C:\Users\z004xh1j\OneDrive - Innomotics\Desktop\Comapass_Lexecon_Case_Study\data\raw_data\EC press releases part 1\ip_03_751.html,ip_03_751,commission clears acquisition of sole control of astrium by eads,the european commission has authorised the acquisition by european aerospace and defence company eads of bae systems s shareholding in astrium a european supplier of space systems created in 2000 the modification from joint to sole control will not significantly alter the current competitive structure in the market this transaction is a modification of a similar deal that was notified to the commission and cleared in december 2002 but not implemented by the parties eads is a jointly held company which combines former activities of aerospatiale matra of france daimlerchrystler aerospace dasa of germany and construcciones aeronauticas of spain eads is active in commercial aircraft civil and military helicopters space vehicles and orbital infrastructures guided weapons military aircraft and defence electronics and systems astrium s main activities consist of the design development and supply of space systems including satellites and their payloads sub systems for launchers and manned space flight vehicles ground stations and various other sub systems and technologies the present operation is essentially the same as the one cleared by the commission last year see ip 02 1958 of 23 december 2002 the modification relates to a specific business unit within astrium that initially was intended to remain under the joint control of eads and bae systems but over which eads now acquires sole control this business unit is responsible for the bidding in a tender procedure organised by the uk government for a military satellite communication system the commission investigated in particular whether any vertical issues were likely to result from the closer link between eads and astrium but concluded to the absence of foreclosure or other competition risks,26/05/2003,may,2003,brussels,,,,ip_02_1958,
C:\Users\z004xh1j\OneDrive - Innomotics\Desktop\Comapass_Lexecon_Case_Study\data\raw_data\EC press releases part 2\ip_05_855.html,ip_05_855,public procurement commission acts on greek legislation excluding certain companies from public contracts,the european commission has decided to ask greece for its observations on the compatibility with eu law of greek national law 3021 2002 preventing companies interconnected with greek mass media businesses from obtaining public contracts the commission s request takes the form of a letter of formal notice the first stage of the infringement procedure under article 226 of the ec treaty eu public procurement law aims to ensure that all european companies have a fair chance to bid for public contracts open and transparent tendering procedures mean more competition stronger safeguards against corruption better service and value for money for taxpayers and ultimately a more competitive europe eu public procurement markets are worth over 1 500 billion more than 16 of total eu gdp the existing eu public procurement directives have increased cross border competition in procurement markets and reduced by around 30 the prices paid by public authorities for goods and services according to a european commission working document see ip 04 149 greece law 3021 2002 on the mass media after the suspension of law 3310 2005 on the same subject see ip 05 356 ip 05 492 the previously existing law 3021 2002 came back into force in greece the commission has sent a letter of formal notice asking the greek government for its observations on the compatibility with community law of the national provisions banning the award of public contracts to companies interconnected with greek mass media companies law 3021 2002 implementing article 14 9 of the greek constitution prevents companies interconnected with greek mass media businesses from participating in public procurement proceedings the commission considers that this is contrary to secondary community law the directives on public procurement in that it lays down exclusion criteria that are not provided for in the directives and does not respect the equal treatment of participants it is also contrary to primary community law the ec treaty in that it lays down measures that impede or render less attractive the exercise of almost all the fundamental freedoms acknowledged by the ec treaty given that the law in question is already producing its effects the commission has given the greek government 15 days to reply and reserves the right to ask the court if it brings the matter before it to lay down the requisite interim measures i e the suspension of the application of law 3021 2002 following the commission decision the greek authorities have communicated new information to the commission services showing that concrete measures are being taken by the greek government to ensure that the law in question will not produce any effects the commission services are in the process of analysing these communications which will have a bearing on the further development of the procedure in question for further details on european public procurement policy and infringement procedures under way see http ec europa eu internal market publicprocurement index en htm the latest information on infringement proceedings concerning all member states is available at http ec europa eu secretariat general sgb droit com index en htm,06/07/2005,july,2005,brussels,,,public procurement,ip_04_149; ip_05_356; ip_05_492,1500000000000.00
C:\Users\z004xh1j\OneDrive - Innomotics\Desktop\Comapass_Lexecon_Case_Study\data\raw_data\EC press releases part 2\ip_07_1950.html,ip_07_1950,mergers commission approves proposed acquisition of actebis by arques,the european commission has cleared under the eu merger regulation the proposed acquisition of the scandinavian part of the actebis group which is mainly active in the wholesale of information technology products by arques industries ag of germany the commission concluded that the transaction would not significantly impede effective competition in the european economic area eea or any substantial part of it arques is active through its portfolio companies in diverse sectors including the wholesale resale and assembling of information technology it products in the eea the scandinavian actebis companies are mainly active only in the wholesale of it products the proposed transaction is to be seen in relation with the previous acquisition of the western european part of the actebis group by arques which the commission authorised on 27 september 2007 see ip 07 1415 with respect to the wholesale of it products the commission found that the horizontal overlap between the parties activities would not give rise to competition concerns since the parties combined market share would be relatively low in those member states where their operations overlap the combined arques actebis entity would continue to face several strong competitors in all member states arques alone is active in the retail market for it products and the assembling of it products where it has only negligible activities the commission concluded that arques small scale activities combined with the parties relatively low market share in it wholesale would not impede effective competition more information on the case will be available at http ec europa eu comm competition mergers cases index m99 html m 4965,18/12/2007,december,2007,brussels,,,merger,ip_07_1415,
C:\Users\z004xh1j\OneDrive - Innomotics\Desktop\Comapass_Lexecon_Case_Study\data\raw_data\EC press releases part 2\ip_08_124.html,ip_08_124,public procurement infringement proceedings against germany,the european commission has decided to refer germany to the european court of justice over a contract for the supply of a software application the commission has also decided to send a reasoned opinion to germany concerning the award of a public service contract for the disposal of biodegradable and green wastes by the municipality of bonn supply of software between public law bodies the commission has decided to refer germany to the european court of justice over a contract for the supply of a software application that was concluded directly between two public law bodies responsible for data processing services for the use of municipalities without conducting a competitive tendering procedure under the contested contract the anstalt für kommunale datenverarbeitung in bayern akdb had to furnish vehicle licensing software developed for use by municipalities in bavaria to datenzentrale baden württemberg which intended to use it in its data centres serving the municipalities of baden württemberg the commission has been made aware of the contract by private undertakings offering comparable software products for municipalities as a contracting authority the datenzentrale has to comply with the internal market rules on public procurement when it awards a supply contract to a third party even if that party is itself a public law body subject to public procurement law since akdb is acting as contractor under a purchase contract for pecuniary interest the datenzentrale would have been obliged to award the contract as a public supply contract in a competitive tendering procedure complying with eu directives on public procurement ensuring transparency and equal access for suppliers in the internal market bio waste disposal bonn the commission has decided to send a reasoned opinion to germany concerning the award of a public service contract for the disposal of biodegradable and green wastes by the municipality of bonn to a private undertaking without a competitive tender procedure under a combined contract concluded in 1997 the municipality has to dispose household waste furnished by the private partner in its incineration plant while the private partner undertakes in turn to dispose bio waste furnished by the municipality in its composting plants the commission started infringement proceedings following a complaint by a private waste disposal undertaking which claimed that it could dispose the bio waste from bonn in much more competitive conditions with respect to the bio waste disposal services the municipality is acting as a contracting authority buying services from operators in the market under internal market rules it is obliged to apply transparent and competitive tendering proceedings opening up the market to competition and ensuring that it gets the best value for its citizens money the latest information on infringement proceedings concerning all member states can be found at http ec europa eu community law index en htm,31/01/2008,january,2008,brussels,germany,,public procurement,,
C:\Users\z004xh1j\OneDrive - Innomotics\Desktop\Comapass_Lexecon_Case_Study\data\raw_data\EC press releases part 2\ip_08_939.html,ip_08_939,mergers commission approves planned acquisition of endesa by enel and acciona,the european commission has approved under the eu merger regulation the acquisition of sole control through a public takeover bid for endesa s a a spanish energy company mainly active in the electricity sector by enel s p a based in italy and acciona s a based in spain after examining the operation the commission concluded that the proposed transaction would not significantly impede effective competition in the european economic area eea or any substantial part of it enel is an italian electricity operator active in the generation distribution and supply of electricity mainly in italy where it is the main provider of electricity to both domestic and industrial users and also in spain bulgaria romania slovakia russia france and north and south america it is also active in the purchase and sale of natural gas for domestic electricity generation and gas operations in italy acciona is a corporate group primarily based in spain whose main lines of business are the development and management of infrastructure and real estate projects the provision of transport urban and environmental services as well as the development and operation of renewable energies endesa is a spanish electricity operator that is to a limited extent also active in other european countries in particular in portugal france italy germany and poland in addition endesa is active in south america and north africa in spain endesa is also present in the gas sector endesa s shares are listed on the madrid and the new york stock exchanges on 26 th march 2007 enel and acciona agreed to acquire joint control of endesa by launching a joint public bid for the shares in endesa that they did not already own or control on 2 nd april 2007 enel acciona and e on agreed that enel and endesa would transfer a number of rights and assets to e on an energy company headquartered in germany with its main activities in the generation transmission and supply of electricity and gas throughout europe and in the us these rights and assets include enel s existing electricity generation distribution and supply business in spain except for its stake in eufer certain additional endesa assets located in spain and endesa s current business in italy together with related businesses in france poland and turkey these businesses do not fall within the scope of the notified concentration since enel and acciona would not acquire any lasting control over them the acquisition of joint control of endesa by enel and acciona had already been notified to and authorised by the commission on 5 july 2007 see ip 07 1023 however on 18 march 2008 enel e on and acciona concluded another agreement modifying their 2007 agreement concerning the assets to be transferred to e on this new agreement excludes one of endesa s power plants that was to be divested to e on the foix power plant in france and substitutes one power plant in spain besos 3 for another one tarragona 1 under the merger regulation the change in scope of the transaction required a new notification as the previous decision had been taken on the basis of a different scope however the commission s analysis showed that the impact of the amendments on the affected market is negligible because of the minimal changes in the market shares of the parties after the new agreement competition in the spanish market for the wholesale supply of electricity which is the only horizontally affected market did not materially change in the last year and a number of other companies such as iberdrola unión fenosa and edp hidrocantábrico are competing with the parties in this market the commission therefore concluded that the proposed transaction would not raise competition concerns more information on the case will be available at http ec europa eu comm competition mergers cases index m103 html m 5171,16/06/2008,june,2008,brussels,,,merger,ip_07_1023,
C:\Users\z004xh1j\OneDrive - Innomotics\Desktop\Comapass_Lexecon_Case_Study\data\raw_data\EC press releases part 2\ip_09_260.html,ip_09_260,state aid commission approves german real economy crisis measure,the european commission has approved under ec treaty state aid rules a german aid measure that addresses mid sized enterprises increased demand for funding for research and development r d in the current financial and economic crisis the aid measure temporarily amends the existing aid scheme zentrales innovationsprogramm mittelstand zim initially targeted at funding r d activities of smes only now r d projects of mid sized enterprises of up to 1 000 employees will also be eligible for funding until 31 12 2010 germany will commit an extra budget of 900 million for that purpose the commission concluded that the proposed aid is in line with the eu rules on state aid for research development and innovation see ip 06 1600 and memo 06 441 because it will not exceed the prescribed limits and will provide an incentive to increase the level of r d i activity competition commissioner neelie kroes said r d projects usually entail considerable risks in the current crisis smaller players have less access to financing as the financial market is extremely risk averse however the european industry needs a sustained high level of r d to become more competitive in the global economy zim encourages businesses to continue investing in the future in addition it demonstrates that member states can use existing eu state aid rules member states to counter the crisis the extension of zim to enterprises of up to 1 000 employees and an increase of zim s budget by 900 million to 2 4 billion in total is one of the actions provided for by the german government s second economic stimulus package konjunkturpaket ii the objective of that broad policy package is to mitigate the impact of the financial and economic crisis in germany in particular the aid is aimed at market effective r d projects with duration between one and two years the german government thus intends to stimulate mid sized enterprises to maintain their level of r d and remain competitive on the global market germany expects to switch back zim to its previous funding rules after 31 12 2010 however in case further modifications are needed after that date the german government will formally notify such plans to the commission the non confidential version of the decision will be made available under the case number n65 2009 in the state aid register on the dg competition website once any confidentiality issues have been resolved new publications of state aid decisions on the internet and in the official journal are listed in the state aid weekly e news,13/02/2009,february,2009,brussels,,,state aid,ip_06_1600,900000000.00; 2400000000.00
C:\Users\z004xh1j\OneDrive - Innomotics\Desktop\Comapass_Lexecon_Case_Study\data\raw_data\EC press releases part 2\ip_09_50.html,ip_09_50,state aid commission approves recapitalisation of anglo irish bank,the european commission has approved under ec treaty state aid rules an emergency recapitalisation worth 1 5 billion that the irish authorities intend to grant to anglo irish bank the commission found the measure to be in line with its guidance communications on state aid during the current financial crisis see ip 08 1495 and ip 08 1901 the measure constitutes an adequate means to remedy a serious disturbance in the irish economy while avoiding undue distortions of competition and is therefore compatible with article 87 3 b of the ec treaty in particular the measure is limited in scope requires an adequate remuneration and provides safeguards to minimise distortions of competition on 19 th december 2008 the irish authorities informed the commission of their intention to recapitalise anglo irish bank with 1 5 billion on 8 th january 2009 the irish authorities formally notified this measure due to the current financial crisis even banks that meet the regulatory solvency ratios may experience distress and be required to reinforce their capital in addition to difficulties caused by the global financial crisis recent developments with regard to the anglo irish bank s corporate governance increased the need to reassure the financial markets of the bank s stability against this background the irish authorities decided to inject 1 5 billion into anglo irish bank the shares to be issued will qualify as core tier 1 capital and will produce a dividend of 10 payable annually at the discretion of the bank and in priority to dividends on ordinary shares dividends on the shares are payable in cash or if the bank is not able to pay in cash in ordinary shares on the basis of the average daily closing price over the previous 30 trading days the shares will carry 75 of the voting rights in anglo irish bank the bank can repurchase the shares at par during maximum five years after that period shares can be repurchased at 125 of par no dividends on ordinary shares are allowed when no dividend on the shares to be issued is paid to the state the commission concluded that the measure complies with the conditions laid down in its guidance communications see ip 08 1495 and ip 08 1901 in particular the measure meets the following criteria necessity anglo irish bank has an important role within the irish financial sector a loss of confidence in this institution could have led to a further disturbance of the current financial situation and harmful spill over effects to the economy as whole appropriate own contribution a discretionary remuneration of 10 per annum is consistent with the commission s recapitalisation communication the commission also took into account that the probability of return for the state is reinforced through the possibility of combining the dividend payment in cash and ordinary shares avoidance of undue distortions of competition the package foresees sufficient behavioural rules to prevent an abuse of the state support e g prohibition of advertising of the aid restrictions on the payment of dividends restrictions on executives remuneration nomination of public interest representatives to the bank s board as well as the submission of a restructuring plan within 6 months for commission s assessment and approval the non confidential version of the decision will be made available under the case number n9 2009 in the state aid register on the dg competition website once any confidentiality issues have been resolved new publications of state aid decisions on the internet and in the official journal are listed in the state aid weekly e news,14/01/2009,january,2009,brussels,,anglo irish bank,state aid,ip_08_1495; ip_08_1901,1500000000.00
C:\Users\z004xh1j\OneDrive - Innomotics\Desktop\Comapass_Lexecon_Case_Study\data\raw_data\EC press releases part 2\ip_11_298.html,ip_11_298,air transport commission launches infringement procedures against six member states over agreements with russia on equal treatment of eu airlines and siberian overflights,the european commission has today launched infringement procedures against estonia greece hungary lithuania malta and slovenia over their bilateral air service agreements with russia sending each of these member states a formal request for information known as a letter of formal notice the commission is concerned that the agreements may hinder equal treatment of eu airlines and competition between european airlines and provide the basis for siberian overflight charges that may be illegal under eu anti trust rules similar letters of formal notice have already been sent to 17 other member states in recent months and the commission is now assessing the compliance with eu law of the remaining four member states bilateral aviation agreements with russia the fact that european union airlines have to pay to fly over siberia on their way to asian destinations can not only make the flights more expensive but can also lead to unfair competition between eu and non eu airlines the view of the european commission is that air transport agreements must treat all eu airlines equally and respect antitrust rules otherwise some eu airlines may be treated less favourably than their direct competitors or face paying unreasonable additional charges which can get passed on to consumers in higher air fares freedom of establishment bi lateral air service agreements between an individual member state and a non eu country have to include an eu designation clause recognising that the terms apply equally to all eu airlines and not just the airlines of that member state this is an essential part of the single european aviation market which was created in the early 1990s guaranteeing that airlines are entitled to operate under the same conditions anywhere in the eu the requirement to have an eu designation clause was confirmed in the open skies rulings of the court of justice in 2002 see ip 02 1609 the court stated that provisions limiting the benefits of air service agreements to nationals of the member state concerned are in breach of eu rules on freedom of establishment now laid down in article 49 of the treaty on the functioning of the eu most agreements with non eu countries have since been adapted to the court ruling russia is one of the few countries in the world that fails to recognise that all eu carriers must be treated equall y and that the terms of any bilateral agreement must include an eu designation clause and apply to all this creates serious practical problems putting at risk traffic rights for example for airlines taken over by a carrier from another eu member state siberian overflight charges designated eu airlines are obliged to pay siberian overflight charges for routes to many asian destinations it is estimated that in 2008 alone the eu carriers concerned paid around usd 420 million in charges most of it directly to the russian airline aeroflot the commission is concerned that this is in breach of eu antitrust law whereby airlines should not be forced into concluding a commercial agreement with a direct competitor the commission is also concerned that this is in breach of international law chicago convention these bilateral agreements also impose different conditions on eu airlines depending on the country they are based in which creates an additional distortion of competition in the end passengers risk having to pay more for their flights than they would otherwise need to next steps member states have two months to respond to the letters of formal notice if they fail to react satisfactorily the commission will send a reasoned opinion requesting the member states in question to amend their bilateral air service agreements with russia letters of formal notice were already sent in october 2010 to austria finland france and germany see ip 10 1425 in january 2011 to belgium denmark italy luxembourg the netherlands sweden and the uk see ip 11 74 and in february 2011 to cyprus ireland poland portugal slovakia and spain the commission is actively assessing the c ompliance with eu law of the bilateral air service agreements that the remaining four member states have with russia see also memo 11 167 for more information on eu infringement procedures see memo 11 162,14/03/2011,march,2011,,russia,air transport: commission; eu airlines,air transport,ip_02_1609; ip_10_1425; ip_11_74,420000000.00
